FIPS_CODE,MUNI_NAME
25942,FAIRFAX
25970,FAIRFIELD
26110,FAIRFIELD BEACH
26166,FAIRLAWN
26306,FAIRPORT HARBOR
26348,FAIRVIEW
26432,FAIRVIEW LANES
26446,FAIRVIEW PARK
26656,FARMERSVILLE
26768,FAYETTE
26796,FAYETTEVILLE
26880,FELICITY
27048,FINDLAY
27104,FINNEYTOWN
27303,FIVE POINTS
27412,FLETCHER
27538,FLORIDA
27552,FLUSHING
27636,FOREST
27706,FOREST PARK
27776,FORESTVILLE
27818,FORT JENNINGS
27832,FORT LORAMIE
27846,FORT MCKINLEY
27902,FORT RECOVERY
27944,FORT SHAWNEE
28014,FOSTORIA
28182,FRANKFORT
28476,FRANKLIN
28532,FRANKLIN FURNACE
28574,FRAZEYSBURG
28616,FREDERICKSBURG
28658,FREDERICKTOWN
28798,FREEPORT
28826,FREMONT
28966,FRUIT HILL
29050,FULTON
29064,FULTONHAM
29106,GAHANNA
29148,GALENA
29162,GALION
29204,GALLIPOLIS
29246,GAMBIER
29288,GANN
29428,GARFIELD HEIGHTS
29442,GARRETTSVILLE
29498,GATES MILLS
29610,GENEVA
29652,GENEVA-ON-THE-LAKE
29722,GENOA
29778,GEORGETOWN
29932,GERMANTOWN
29974,GETTYSBURG
30072,GIBSONBURG
30114,GILBOA
30198,GIRARD
30282,GLANDORF
30380,GLENDALE
30436,GLENFORD
30506,GLENMONT
30520,GLENMOOR
30632,GLENWILLOW
30660,GLORIA GLENS PARK
30674,GLOUSTER
30702,GNADENHUTTEN
30786,GOLF MANOR
30912,GORDON
31150,GRAFTON
31206,GRAND RAPIDS
31234,GRAND RIVER
31262,GRANDVIEW
31304,GRANDVIEW HEIGHTS
31402,GRANVILLE
31434,GRANVILLE SOUTH
31458,GRATIOT
31472,GRATIS
31542,GRAYSVILLE
31860,GREEN
31948,GREEN CAMP
32088,GREENFIELD
32158,GREENHILLS
32207,GREEN MEADOWS
32256,GREEN SPRINGS
32298,GREENTOWN
32340,GREENVILLE
32368,GREENWICH
32536,GROESBECK
32592,GROVE CITY
32606,GROVEPORT
32620,GROVER HILL
32956,HAMDEN
32984,HAMERSVILLE
33012,HAMILTON
33096,HAMLER
33194,HANGING ROCK
33292,HANOVER
33306,HANOVERTON
33362,HARBOR HILLS
33376,HARBOR VIEW
33656,HARPSTER
33740,HARRISBURG
33838,HARRISON
34090,HARRISVILLE
34118,HARROD
34202,HARTFORD
34328,HARTVILLE
34384,HARVEYSBURG
34412,HASKINS
34552,HAVILAND
34636,HAYESVILLE
34748,HEATH
34790,HEBRON
34860,HELENA
34888,HEMLOCK
35098,HICKSVILLE
35168,HIGGINSPORT
35210,HIGHLAND
35252,HIGHLAND HEIGHTS
35255,HIGHLAND HILLS
35476,HILLIARD
35532,HILLS AND DALES
35560,HILLSBORO
35613,HILLTOP
35658,HIRAM
35854,HOLGATE
35864,HOLIDAY CITY
35868,HOLIDAY VALLEY
35882,HOLLAND
35896,HOLLANSBURG
35924,HOLLOWAY
35994,HOLMESVILLE
36260,HOPEDALE
36557,HOWLAND CENTER
36568,HOYTVILLE
36582,HUBBARD
36610,HUBER HEIGHTS
36624,HUBER RIDGE
36651,HUDSON
36806,HUNTER
36918,HUNTING VALLEY
36988,HUNTSVILLE
37016,HURON
37240,INDEPENDENCE
37422,IRONDALE
37464,IRONTON
37604,ITHACA
37842,JACKSON
38192,JACKSONBURG
38220,JACKSON CENTER
38304,JACKSONVILLE
38374,JAMESTOWN
38500,JEFFERSON
38920,JEFFERSONVILLE
38948,JENERA
39060,JEROMESVILLE
39074,JERRY CITY
39130,JERUSALEM
39172,JEWETT
39340,JOHNSTOWN
39508,JUNCTION CITY
39536,KALIDA
39662,KELLEYS ISLAND
39872,KENT
39886,KENTON
39914,KENWOOD
40040,KETTERING
40054,KETTLERSVILLE
40180,KILLBUCK
40264,KIMBOLTON
40376,KINGSTON
40544,KIPTON
40558,KIRBY
40572,KIRKERSVILLE
40642,KIRTLAND
40670,KIRTLAND HILLS
41090,LA CROFT
41118,LAFAYETTE
41230,LAGRANGE
41363,LAKE DARBY
41398,LAKELINE
41454,LAKEMORE
41608,LAKEVIEW
41664,LAKEWOOD
41720,LANCASTER
41755,LANDEN
41902,LA RUE
41986,LATTY
42028,LAURA
42084,LAURELVILLE
42210,LAWRENCEVILLE
42308,LEAVITTSBURG
42364,LEBANON
42476,LEESBURG
42518,LEESVILLE
42560,LEETONIA
42602,LEIPSIC
42938,LEWISBURG
42980,LEWISVILLE
42994,LEXINGTON
43414,LIBERTY CENTER
43554,LIMA
43596,LIMAVILLE
43722,LINCOLN HEIGHTS
43792,LINCOLN VILLAGE
43904,LINDSEY
43918,LINNDALE
44030,LISBON
44086,LITHOPOLIS
44310,LOCKBOURNE
44352,LOCKINGTON
44366,LOCKLAND
44604,LODI
44632,LOGAN
44636,LOGAN ELM VILLAGE
44674,LONDON
44856,LORAIN
44912,LORDSTOWN
44954,LORE CITY
45066,LOUDONVILLE
45094,LOUISVILLE
45108,LOVELAND
