municipality,plan_type,gasb_2025_fiduciary_net_position_percent,measurement_period_end,source_url,source_file,sha256,bytes,pages
Huntington,Police,55.14,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Huntington%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Huntington Police GASB Report 2025.pdf,B6710850903B3F8BAF45E1850551910AB00AB244C42AEC7AB2AC7AE78D8B7D02,568474,13
Logan,Fire,95.60,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Logan%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Logan Fire GASB Report 2025.pdf,1F507E3C7253E43CC32B3248301BD2ADEF0C40CE5ED3CC5BD5EA142BCB9163BC,729980,13
Logan,Police,86.12,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Logan%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Logan Police GASB Report 2025.pdf,98154FB66906266E9C2CD2A8F027EAECA382DE806AE167CF70E9853AD5D9F14F,572930,13
Martinsburg,Fire,19.72,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Martingsburg%20Fire%20GASB%20Report%202025%20%281%29.pdf,MPOB-GASB-2025/Martinsburg Fire GASB Report 2025.pdf,AFD99D526143E9F97E0A9840586A503335F916514CE25B9B8FC6E64554B27009,574047,13
Martinsburg,Police,32.54,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Martinsburg%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Martinsburg Police GASB Report 2025.pdf,F80C9A8412AC61BAF8BD1CB85C06497318C2946BD0C73E9C32B86ED7B8FC3D78,573893,13
Morgantown,Fire,46.83,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Morgantown%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Morgantown Fire GASB Report 2025.pdf,C96B6280A96631B61444DA9DBCCEC83E1B3DFE38B11808614299B614410A59F5,572709,13
Morgantown,Police,40.45,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Morgantown%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Morgantown Police GASB Report 2025.pdf,CB45266DA4B2B541A191C05CB6587540C5A7D973B00BAF33A576C7097232CD84,581653,13
Moundsville,Fire,62.68,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Moundsville%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Moundsville Fire GASB Report 2025.pdf,A1E4985E3BEECC7AC204696FCB87FD97A0630583B4E83CD952F585B0AE57201F,565543,13
Moundsville,Police,75.50,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Moundsville%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Moundsville Police GASB Report 2025.pdf,F30F6E06A63C50612497B2F612987329B9761DE10D26989C41C347D23DF17E3F,563938,13
Nitro,Fire,26.44,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Nitro%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Nitro Fire GASB Report 2025.pdf,AD272F1817D2313699777C27C9C0A1FB2FEA54702A2B3D2A410D46BC8AE48747,740530,16
Nitro,Police,42.16,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Nitro%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Nitro Police GASB Report 2025.pdf,B5078C22E3F097F85DE19A285C6B988587DFB4075401992D82146DC565626B41,740468,16
Oak Hill,Police,106.82,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Oak%20Hill%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Oak Hill Police GASB Report 2025.pdf,61BCB0F0A3E5B2121C09EAB976619169FE4623B7A44944C11F884962797E3F8D,353892,13
Parkersburg,Fire,58.12,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Parkersburg%20Fire%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Parkersburg Fire GASB Report 2025.pdf,5930894C3E70EE082F46AAEFF5455CAFBB8BA718A5892A3597869ED1EE57D35B,569314,13
Parkersburg,Police,56.67,"June 30, 2025",https://mpob.wv.gov/MainDropdownForms/Parkersburg%20Police%20GASB%20Report%202025.pdf,MPOB-GASB-2025/Parkersburg Police GASB Report 2025.pdf,0C5948F969959F6384A9A327A22A3D10E61BBDE74F71E4D525FE54DA912342C9,569294,13
