"entity_name","fiscal_year","county","type","form_table","category","subcategory_1","subcategory_2","subcategory_3","subcategory_4","line_description","value","city_state_zip","estimated_population","row_number"
"Agoura Hills","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Agoura Hills, CA 91301","21930","81113"
"Alameda","2003","Alameda","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Alameda, CA 94501","74940","80940"
"Albany","2003","Alameda","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Albany, CA 94706-2226","16787","80767"
"Alhambra","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Alhambra, CA 91802-2351","88938","80594"
"Aliso Viejo","2003","Orange","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Aliso Viejo, CA 92656-5335","43879","80421"
"Alturas","2003","Modoc","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Alturas, CA 96101","2812","80248"
"Amador","2003","Amador","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Amador, CA 95601","208","80075"
"American Canyon","2003","Napa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"American Canyon, CA 94503-1100","12331","79902"
"Anaheim","2003","Orange","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Anaheim, CA 92805","337440","79729"
"Anderson","2003","Shasta","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Anderson, CA 96007","9508","79556"
"Angels","2003","Calaveras","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Angels, CA 95222-0667","3349","79383"
"Antioch","2003","Contra Costa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Antioch, CA 94531-5007","99295","79210"
"Apple Valley","2003","San Bernardino","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Apple Valley, CA 92307","58883","79037"
"Arcadia","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Arcadia, CA 91066-6021","55531","78864"
"Arcata","2003","Humboldt","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Arcata, CA 95521","16923","78691"
"Arroyo Grande","2003","San Luis Obispo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Arroyo Grande, CA 93420","16523","78518"
"Artesia","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Artesia, CA 90701","17007","78345"
"Arvin","2003","Kern","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Arvin, CA 93203","14034","78172"
"Atascadero","2003","San Luis Obispo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Atascadero, CA 93422","27404","77999"
"Atherton","2003","San Mateo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Atherton, CA 94027","7214","77826"
"Atwater","2003","Merced","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Atwater, CA 95301","26016","77653"
"Auburn","2003","Placer","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Auburn, CA 95677","12235","77480"
"Avalon","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Avalon, CA 90704","3317","77307"
"Avenal","2003","Kings","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Avenal, CA 93204","15334","77134"
"Azusa","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Azusa, CA 91702-1395","47165","76961"
"Bakersfield","2003","Kern","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Bakersfield, CA 93301","266784","76788"
"Baldwin Park","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Baldwin Park, CA 91706","79573","76615"
"Banning","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Banning, CA 92220","25504","76442"
"Barstow","2003","San Bernardino","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Barstow, CA 92311-2888","22980","76269"
"Beaumont","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Beaumont, CA 92223","13783","76096"
"Bell","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Bell, CA 90201-1291","38233","75923"
"Bellflower","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Bellflower, CA 90706","76428","75577"
"Bell Gardens","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Bell Gardens, CA 90201","45769","75750"
"Belmont","2003","San Mateo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Belmont, CA 94002-3867","25397","75404"
"Belvedere","2003","Marin","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Belvedere, CA 94920","2137","75231"
"Benicia","2003","Solano","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Benicia, CA 94510","27035","75058"
"Berkeley","2003","Alameda","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Berkeley, CA 94704","104558","74885"
"Beverly Hills","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Beverly Hills, CA 90210","35350","74712"
"Big Bear Lake","2003","San Bernardino","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Big Bear Lake, CA 92315","5872","74539"
"Biggs","2003","Butte","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Biggs, CA 95917","1809","74366"
"Bishop","2003","Inyo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Bishop, CA 93514","3617","74193"
"Blue Lake","2003","Humboldt","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Blue Lake, CA 95525","1160","74020"
"Blythe","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Blythe, CA 92225","21211","73847"
"Bradbury","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Bradbury, CA 91008","921","73674"
"Brawley","2003","Imperial","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Brawley, CA 92227","22565","73501"
"Brea","2003","Orange","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Brea, CA 92821-5732","37962","73328"
"Brentwood","2003","Contra Costa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Brentwood, CA 94513-1396","33021","73155"
"Brisbane","2003","San Mateo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Brisbane, CA 94005","3647","72982"
"Buellton","2003","Santa Barbara","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Buellton, CA 93427","4213","72809"
"Buena Park","2003","Orange","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Buena Park, CA 90622","80617","72636"
"Burbank","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Burbank, CA 91502","104497","72463"
"Burlingame","2003","San Mateo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Burlingame, CA 94010-3997","28258","72290"
"Calexico","2003","Imperial","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Calexico, CA 92231","31778","72117"
"California City","2003","Kern","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"California City, CA 93505","11111","71944"
"Calimesa","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Calimesa, CA 92320","7333","71771"
"Calipatria","2003","Imperial","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Calipatria, CA 92233","7624","71598"
"Calistoga","2003","Napa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Calistoga, CA 94515","5237","71425"
"Camarillo","2003","Ventura","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Camarillo, CA 93010","60515","71252"
"Campbell","2003","Santa Clara","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Campbell, CA 95008","38300","71079"
"Canyon Lake","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Canyon Lake, CA 92587","10511","70906"
"Capitola","2003","Santa Cruz","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Capitola, CA 95010","10138","70733"
"Carlsbad","2003","San Diego","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Carlsbad, CA 92008-7314","90271","70560"
"Carmel-By-The-Sea","2003","Monterey","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Carmel-By-The-Sea, CA 93921","4094","70387"
"Carpinteria","2003","Santa Barbara","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Carpinteria, CA 93013-2698","14394","70214"
"Carson","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Carson, CA 90745","94826","70041"
"Cathedral City","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Cathedral City, CA 92234-7031","47292","69868"
"Ceres","2003","Stanislaus","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Ceres, CA 95307-3292","36411","69695"
"Cerritos","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Cerritos, CA 90703","54228","69522"
"Chico","2003","Butte","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Chico, CA 95927","68589","69349"
"Chino","2003","San Bernardino","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Chino, CA 91710","70663","69176"
"Chino Hills","2003","San Bernardino","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Chino Hills, CA 91709","72994","69003"
"Chowchilla","2003","Madera","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Chowchilla, CA 93610","14351","68830"
"Chula Vista","2003","San Diego","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Chula Vista, CA 91910","199680","68657"
"Citrus Heights","2003","Sacramento","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Citrus Heights, CA 95610","87162","68484"
"Claremont","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Claremont, CA 91711","36098","68311"
"Clayton","2003","Contra Costa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Clayton, CA 94517","10981","68138"
"Clearlake","2003","Lake","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Clearlake, CA 95422","13527","67965"
"Cloverdale","2003","Sonoma","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Cloverdale, CA 95425","7511","67792"
"Clovis","2003","Fresno","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Clovis, CA 93612","75977","67619"
"Coachella","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Coachella, CA 92236","26772","67446"
"Coalinga","2003","Fresno","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Coalinga, CA 93210","16409","67273"
"Colfax","2003","Placer","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Colfax, CA 95713","1712","67100"
"Colma","2003","San Mateo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Colma, CA 94014","1195","66927"
"Colton","2003","San Bernardino","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Colton, CA 92324","50211","66754"
"Colusa","2003","Colusa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Colusa, CA 95932","5577","66581"
"Commerce","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Commerce, CA 90040","13175","66408"
"Compton","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Compton, CA 90220","96996","66235"
"Concord","2003","Contra Costa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Concord, CA 94519","124850","66062"
"Corcoran","2003","Kings","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Corcoran, CA 93212","21131","65889"
"Corning","2003","Tehama","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Corning, CA 96021","6827","65716"
"Corona","2003","Riverside","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Corona, CA 92882-3238","137006","65543"
"Coronado","2003","San Diego","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Coronado, CA 92118","26353","65370"
"Corte Madera","2003","Marin","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Corte Madera, CA 94976-0159","9393","65197"
"Costa Mesa","2003","Orange","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Costa Mesa, CA 92626","111512","65024"
"Cotati","2003","Sonoma","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Cotati, CA 94931","6875","64851"
"Covina","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Covina, CA 91723-2199","48721","64678"
"Crescent City","2003","Del Norte","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Crescent City, CA 95531","7334","64505"
"Cudahy","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Cudahy, CA 90201","25455","64332"
"Culver City","2003","Los Angeles","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Culver City, CA 90232-0507","40256","64159"
"Cupertino","2003","Santa Clara","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Cupertino, CA 95014","52167","63986"
"Cypress","2003","Orange","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Cypress, CA 90630","47644","63813"
"Daly City","2003","San Mateo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Daly City, CA 94015","104305","63640"
"Dana Point","2003","Orange","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Dana Point, CA 92629","36247","63467"
"Danville","2003","Contra Costa","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Danville, CA 94526","43215","63294"
"Davis","2003","Yolo","Revenues","GENREV_EMP_PAYROLL_TAX","Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Other Non-Property Taxes","Employers Payroll Tax_General Revenues",,"Davis, CA 95616","64259","63121"
