"district_id","selector_name","tax_district_name","ordinance","city","county","net_profits_or_gross_receipts","tax_rate_text","minimum_tax","cap","public_notes","ordinance_urls","tax_form_urls","other_document_urls","source_page_url","retrieved_at"
"15","Boone County Mental Health, Retardation/Aging","Boone County Mental Health, Retardation/Aging","Ordinance No. 07-26","Burlington","Boone","Net Profits","0.15%","","$25.00","","https://web.sos.ky.gov/occupationaltaxes/15-34.pdf","https://web.sos.ky.gov/occupationaltaxes/15-923.pdf | https://web.sos.ky.gov/occupationaltaxes/15-787.pdf | https://web.sos.ky.gov/occupationaltaxes/15-638.pdf | https://web.sos.ky.gov/occupationaltaxes/15-36.pdf","https://web.sos.ky.gov/occupationaltaxes/15-924.pdf | https://web.sos.ky.gov/occupationaltaxes/15-786.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:53Z"
"14","Boone County School Board","Boone County School Board","Boone County Board of Education Resolution","Burlington","Boone","Net Profits","0.5%","","","","https://web.sos.ky.gov/occupationaltaxes/14-31.pdf","https://web.sos.ky.gov/occupationaltaxes/14-925.pdf | https://web.sos.ky.gov/occupationaltaxes/14-785.pdf | https://web.sos.ky.gov/occupationaltaxes/14-639.pdf | https://web.sos.ky.gov/occupationaltaxes/14-33.pdf","https://web.sos.ky.gov/occupationaltaxes/14-926.pdf | https://web.sos.ky.gov/occupationaltaxes/14-784.pdf | https://web.sos.ky.gov/occupationaltaxes/14-640.pdf | https://web.sos.ky.gov/occupationaltaxes/14-32.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:53Z"
"17","Bourbon County","Bourbon County","12-13-07-02","Paris","Bourbon","Net Profits","1.25%","","","","https://web.sos.ky.gov/occupationaltaxes/17-1221.pdf | https://web.sos.ky.gov/occupationaltaxes/17-65.pdf","https://web.sos.ky.gov/occupationaltaxes/17-1222.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:53Z"
"18","Bowling Green","Bowling Green","BG2008-8","Bowling Green","Warren","Net Profits","2.0%","$30","","","https://web.sos.ky.gov/occupationaltaxes/18-1290.pdf | https://web.sos.ky.gov/occupationaltaxes/18-42.pdf | https://web.sos.ky.gov/occupationaltaxes/18-41.pdf","https://web.sos.ky.gov/occupationaltaxes/18-1291.pdf","https://web.sos.ky.gov/occupationaltaxes/18-705.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:53Z"
"19","Boyd County","Boyd County","05-101, 05-07, 03-07, 05-2012","Catlettsburg","Boyd","Net Profits","1%","","","","https://web.sos.ky.gov/occupationaltaxes/19-45.pdf","https://web.sos.ky.gov/occupationaltaxes/19-46.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:53Z"
"20","Boyle County","Boyle County","No. 220.4","Danville","Boyle","Net Profits/Gross Wages","1.25%","","","","https://web.sos.ky.gov/occupationaltaxes/20-1254.pdf | https://web.sos.ky.gov/occupationaltaxes/20-1055.pdf","https://web.sos.ky.gov/occupationaltaxes/20-1255.pdf | https://web.sos.ky.gov/occupationaltaxes/20-1054.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:53Z"
"244","Brandenburg","Brandenburg","Ordinance No. 648","Brandenburg","Meade","","","","","","https://web.sos.ky.gov/occupationaltaxes/244-1330.pdf","https://web.sos.ky.gov/occupationaltaxes/244-1329.pdf | https://web.sos.ky.gov/occupationaltaxes/244-1328.pdf | https://web.sos.ky.gov/occupationaltaxes/244-1327.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
"190","Breathitt County","Breathitt County","No. 081596","Jackson","Breathitt","","","","","","https://web.sos.ky.gov/occupationaltaxes/190-525.pdf","https://web.sos.ky.gov/occupationaltaxes/190-524.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
"21","Bromley","Bromley","225.48","Convington","Kenton","Gross Receipts","0.00125","","","","https://web.sos.ky.gov/occupationaltaxes/21-649.pdf | https://web.sos.ky.gov/occupationaltaxes/21-49.pdf","https://web.sos.ky.gov/occupationaltaxes/21-945.pdf | https://web.sos.ky.gov/occupationaltaxes/21-813.pdf","https://web.sos.ky.gov/occupationaltaxes/21-944.pdf","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
"23","Brooksville","Brooksville","Chapter 110A","Brooksville","Bracken","Net Proftis/Gross Receipts","1.75% of Net Profits/0.0075% of Gross Receipts","Variable/Depends on Occupation","$900","","https://web.sos.ky.gov/occupationaltaxes/23-58.pdf","https://web.sos.ky.gov/occupationaltaxes/23-59.pdf","","https://web.sos.ky.gov/occupationaltax/","2026-08-27T15:36:54Z"
