jedd_jedz_id,name,zone_type_from_official_name,tax_category,rate_percent,rate_fraction,effective_start_date,effective_end_date,snapshot_as_of_date,source_url,retrieved_at
9023,LIBERTY TOWNSHIP JEDD I,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2008-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9024,MACEDONIA NORTHFIELD CENTER TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2019-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9025,MEDINA MONTVILLE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.25,0.0125,2004-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9026,DAYTON MALL JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.25,0.0225,2011-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9027,UNION TOWNSHIP-MILFORD JEDD 1,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2007-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9028,UNION TOWNSHIP-MILFORD JEDD 2,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2012-05-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9029,UNION TOWNSHIP-MILFORD JEDD 3,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2013-06-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9030,UNION TOWNSHIP-MILFORD JEDD 4,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2013-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9031,NORTH PICKAWAY COUNTY JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2008-11-14,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9032,ORANGE CHAGRIN HIGHLANDS JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,1999-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9033,CONCORD TOWNSHIP-PAINESVILLE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.75,0.0175,2012-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9034,PATASKALA CORPORATE PARK JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.75,0.0175,2000-04-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9035,PERRY JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2012-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9036,PRAIRIE TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2012-10-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9037,REMINDERVILLE TWINSBURG TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9038,RUSH TOWNSHIP UHRICHSVILLE JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2017-07-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9039,SAYBROOK TOWNSHIP-DEPOT RD JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1.8,0.018,2013-04-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9040,SCIOTO TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2,0.02,2015-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9041,SPRINGFIELD BECKLEY MUNI AIRPARK JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2004-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9042,SPRINGFIELD-AKRON JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2018-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9043,WALTON HILLS-SAGAMORE HILLS TOWNSHIP JEDD,JEDD,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2015-09-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9044,WEST CHESTER JEDD 1,JEDD,JEDD_JEDZ_INCOME_TAX,1,0.01,2009-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9045,BLENDON TOWNSHIP JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2,0.02,2006-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9046,BUTLER TOWNSHIP JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,1,0.01,2012-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9047,CLINTON GRANDVIEW HEIGHTS JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2014-04-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9048,COLUMBIA TOWNSHIP JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,1,0.01,2014-04-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9049,ETNA JEDZ1 - NORTH,JEDZ,JEDD_JEDZ_INCOME_TAX,1.75,0.0175,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9050,ETNA JEDZ2 - SOUTH,JEDZ,JEDD_JEDZ_INCOME_TAX,1.75,0.0175,2009-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9051,HIGHLAND HILLS JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,2.5,0.025,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
9052,HOLLAND SPRINGFIELD TOWNSHIP JEDZ,JEDZ,JEDD_JEDZ_INCOME_TAX,1.5,0.015,2003-01-01,2999-12-31,2026-08-25,https://api.thefinder.tax.ohio.gov/finder/api/v1/tax-rates/downloads/JEDTaxRates.csv,2026-08-26T00:02:05+00:00
