"title","version","status","bytes","url","file"
"53E","C53E_2018012420180124","200","451186","https://le.utah.gov/xcode/Title53E/C53E_2018012420180124.pdf","Title-53E-C53E_2018012420180124.pdf"
"53F","C53F_2018012420180124","200","371245","https://le.utah.gov/xcode/Title53F/C53F_2018012420180124.pdf","Title-53F-C53F_2018012420180124.pdf"
"53G","C53G_2018012420180124","200","744374","https://le.utah.gov/xcode/Title53G/C53G_2018012420180124.pdf","Title-53G-C53G_2018012420180124.pdf"
"53H","C53H_2025101420251206","200","576581","https://le.utah.gov/xcode/Title53H/C53H_2025101420251206.pdf","Title-53H-C53H_2025101420251206.pdf"
"54","C54_1800010118000101","200","498812","https://le.utah.gov/xcode/Title54/C54_1800010118000101.pdf","Title-54-C54_1800010118000101.pdf"
"55","C55_1800010118000101","200","13470","https://le.utah.gov/xcode/Title55/C55_1800010118000101.pdf","Title-55-C55_1800010118000101.pdf"
"56","C56_1800010118000101","200","36141","https://le.utah.gov/xcode/Title56/C56_1800010118000101.pdf","Title-56-C56_1800010118000101.pdf"
"57","C57_1800010118000101","200","615112","https://le.utah.gov/xcode/Title57/C57_1800010118000101.pdf","Title-57-C57_1800010118000101.pdf"
"58","C58_1800010118000101","200","1996319","https://le.utah.gov/xcode/Title58/C58_1800010118000101.pdf","Title-58-C58_1800010118000101.pdf"
"59","C59_1800010118000101","200","1928674","https://le.utah.gov/xcode/Title59/C59_1800010118000101.pdf","Title-59-C59_1800010118000101.pdf"
"6","C6_1800010118000101","200","33762","https://le.utah.gov/xcode/Title6/C6_1800010118000101.pdf","Title-6-C6_1800010118000101.pdf"
"61","C61_1800010118000101","200","368167","https://le.utah.gov/xcode/Title61/C61_1800010118000101.pdf","Title-61-C61_1800010118000101.pdf"
"63A","C63A_2021050520210701","200","620523","https://le.utah.gov/xcode/Title63A/C63A_2021050520210701.pdf","Title-63A-C63A_2021050520210701.pdf"
"63B","C63B_1800010118000101","200","537937","https://le.utah.gov/xcode/Title63B/C63B_1800010118000101.pdf","Title-63B-C63B_1800010118000101.pdf"
"63C","C63C_1800010118000101","200","76969","https://le.utah.gov/xcode/Title63C/C63C_1800010118000101.pdf","Title-63C-C63C_1800010118000101.pdf"
"63D","C63D_1800010118000101","200","9809","https://le.utah.gov/xcode/Title63D/C63D_1800010118000101.pdf","Title-63D-C63D_1800010118000101.pdf"
"63E","C63E_1800010118000101","200","23165","https://le.utah.gov/xcode/Title63E/C63E_1800010118000101.pdf","Title-63E-C63E_1800010118000101.pdf"
"63G","C63G_1800010118000101","200","898905","https://le.utah.gov/xcode/Title63G/C63G_1800010118000101.pdf","Title-63G-C63G_1800010118000101.pdf"
"63H","C63H_1800010118000101","200","151579","https://le.utah.gov/xcode/Title63H/C63H_1800010118000101.pdf","Title-63H-C63H_1800010118000101.pdf"
"63I","C63I_1800010118000101","200","64724","https://le.utah.gov/xcode/Title63I/C63I_1800010118000101.pdf","Title-63I-C63I_1800010118000101.pdf"
"63J","C63J_1800010118000101","200","226527","https://le.utah.gov/xcode/Title63J/C63J_1800010118000101.pdf","Title-63J-C63J_1800010118000101.pdf"
"63L","C63L_1800010118000101","200","151237","https://le.utah.gov/xcode/Title63L/C63L_1800010118000101.pdf","Title-63L-C63L_1800010118000101.pdf"
"63M","C63M_1800010118000101","200","30059","https://le.utah.gov/xcode/Title63M/C63M_1800010118000101.pdf","Title-63M-C63M_1800010118000101.pdf"
"63N","C63N_2021050520210701","200","490940","https://le.utah.gov/xcode/Title63N/C63N_2021050520210701.pdf","Title-63N-C63N_2021050520210701.pdf"
"63O","C63O_2024050120240501","200","37596","https://le.utah.gov/xcode/Title63O/C63O_2024050120240501.pdf","Title-63O-C63O_2024050120240501.pdf"
"64","C64_1800010118000101","200","128944","https://le.utah.gov/xcode/Title64/C64_1800010118000101.pdf","Title-64-C64_1800010118000101.pdf"
"65A","C65A_1800010118000101","200","134315","https://le.utah.gov/xcode/Title65A/C65A_1800010118000101.pdf","Title-65A-C65A_1800010118000101.pdf"
"67","C67_1800010118000101","200","384894","https://le.utah.gov/xcode/Title67/C67_1800010118000101.pdf","Title-67-C67_1800010118000101.pdf"
"68","C68_1800010118000101","200","27149","https://le.utah.gov/xcode/Title68/C68_1800010118000101.pdf","Title-68-C68_1800010118000101.pdf"
"69","C69_1800010118000101","200","39915","https://le.utah.gov/xcode/Title69/C69_1800010118000101.pdf","Title-69-C69_1800010118000101.pdf"
"7","C7_1800010118000101","200","423052","https://le.utah.gov/xcode/Title7/C7_1800010118000101.pdf","Title-7-C7_1800010118000101.pdf"
"70","C70_1800010118000101","200","35158","https://le.utah.gov/xcode/Title70/C70_1800010118000101.pdf","Title-70-C70_1800010118000101.pdf"
"70A","C70A_1800010118000101","200","652232","https://le.utah.gov/xcode/Title70A/C70A_1800010118000101.pdf","Title-70A-C70A_1800010118000101.pdf"
"70C","C70C_1800010118000101","200","61526","https://le.utah.gov/xcode/Title70C/C70C_1800010118000101.pdf","Title-70C-C70C_1800010118000101.pdf"
"70D","C70D_1800010118000101","200","51613","https://le.utah.gov/xcode/Title70D/C70D_1800010118000101.pdf","Title-70D-C70D_1800010118000101.pdf"
"71A","C71A_2023050320230503","200","52224","https://le.utah.gov/xcode/Title71A/C71A_2023050320230503.pdf","Title-71A-C71A_2023050320230503.pdf"
"72","C72_1800010118000101","200","614912","https://le.utah.gov/xcode/Title72/C72_1800010118000101.pdf","Title-72-C72_1800010118000101.pdf"
"73","C73_1800010118000101","200","688104","https://le.utah.gov/xcode/Title73/C73_1800010118000101.pdf","Title-73-C73_1800010118000101.pdf"
"75","C75_1800010118000101","200","431629","https://le.utah.gov/xcode/Title75/C75_1800010118000101.pdf","Title-75-C75_1800010118000101.pdf"
"75A","C75A_2024090120240501","200","213127","https://le.utah.gov/xcode/Title75A/C75A_2024090120240501.pdf","Title-75A-C75A_2024090120240501.pdf"
"75B","C75B_2024090120240501","200","118951","https://le.utah.gov/xcode/Title75B/C75B_2024090120240501.pdf","Title-75B-C75B_2024090120240501.pdf"
"75E","C75E_2026050620260701","200","182307","https://le.utah.gov/xcode/Title75E/C75E_2026050620260701.pdf","Title-75E-C75E_2026050620260701.pdf"
"76","C76_2026050620260701","200","1163569","https://le.utah.gov/xcode/Title76/C76_2026050620260701.pdf","Title-76-C76_2026050620260701.pdf"
"77","C77_2026050620260701","200","824496","https://le.utah.gov/xcode/Title77/C77_2026050620260701.pdf","Title-77-C77_2026050620260701.pdf"
"78A","C78A_1800010118000101","200","317533","https://le.utah.gov/xcode/Title78A/C78A_1800010118000101.pdf","Title-78A-C78A_1800010118000101.pdf"
"78B","C78B_1800010118000101","200","901909","https://le.utah.gov/xcode/Title78B/C78B_1800010118000101.pdf","Title-78B-C78B_1800010118000101.pdf"
"79","C79_1800010118000101","200","241957","https://le.utah.gov/xcode/Title79/C79_1800010118000101.pdf","Title-79-C79_1800010118000101.pdf"
"8","C8_1800010118000101","200","19377","https://le.utah.gov/xcode/Title8/C8_1800010118000101.pdf","Title-8-C8_1800010118000101.pdf"
"80","C80_2021050520210901","200","536011","https://le.utah.gov/xcode/Title80/C80_2021050520210901.pdf","Title-80-C80_2021050520210901.pdf"
"81","C81_2024090120240501","200","604659","https://le.utah.gov/xcode/Title81/C81_2024090120240501.pdf","Title-81-C81_2024090120240501.pdf"
"9","C9_2021050520210505","200","216969","https://le.utah.gov/xcode/Title9/C9_2021050520210505.pdf","Title-9-C9_2021050520210505.pdf"
