"title","source_url","pdf_name","pdf_bytes","pdf_sha256","text_name","text_bytes","text_sha256","pages"
"23","https://wyoleg.gov/statutes/compress/title23.pdf","Title-23.pdf","489346","0f2fe1b0a3a60063154d7b0d82dd25f7b59537450b7e48de4c354f255ff28942","Title-23.txt","295147","57237cb7e72f269effef86b54ce607eb38d6a10205cfc10658f74660397f02ab","138"
"24","https://wyoleg.gov/statutes/compress/title24.pdf","Title-24.pdf","304113","d53cb9b7fd5b1ef04c03a9cc8d3c0461f3a07d403df24f0e4d2d5c6f8ee2b2fc","Title-24.txt","170194","e1c714ed1e37884d890082842a17027adbeae87022c528e6a25499b0d6da23a9","76"
"25","https://wyoleg.gov/statutes/compress/title25.pdf","Title-25.pdf","324810","96e035d416404dcc3f7f50702832034b0522d7c0e6db7678b1df691b78854dbe","Title-25.txt","166286","311c5636bd3a84525f173c795623ed5ca48cde7bbb3a5dc833619d6680a4f672","82"
"26","https://wyoleg.gov/statutes/compress/title26.pdf","Title-26.pdf","2999237","c3d0ee12034b57028414d563b46dde51e41ad0ccf48889f1efc0472648dc2eda","Title-26.txt","2060118","3ee16bc57ec8c4baf13addb7eab9b276f3e1945a2dc7ae7b62515bf8cfcca26e","989"
"27","https://wyoleg.gov/statutes/compress/title27.pdf","Title-27.pdf","879358","c131a406d44bf2e556500c4ca8de7ccc3c6334cdc4d02c5e31ceabc25293b47a","Title-27.txt","574312","10dffe6247e62c4b1130f0a295309055970423377b95129d0f648a86cc1c076c","270"
"28","https://wyoleg.gov/statutes/compress/title28.pdf","Title-28.pdf","250210","93c0510f4ea8b181c345170f6848cfd2c4212365e79a2752b5fb34692692b2a5","Title-28.txt","112971","e396343629987a6c282d770ed9174f070d3a5705e10aed82dd746814830ba36c","57"
"29","https://wyoleg.gov/statutes/compress/title29.pdf","Title-29.pdf","262949","e0ffc1c364563141f04c7cf685f8984abe2cd6e5b885f8bf67d03d7f8dbed383","Title-29.txt","112022","159d5d97a9b8eda3c71b100dceaf58469955e7639d1b5632c1f82045b43d0894","60"
"30","https://wyoleg.gov/statutes/compress/title30.pdf","Title-30.pdf","503379","3a105e55d45a5ab5942de0ef7dbbfcbec747bf41e2dc71ce29ab425014d98616","Title-30.txt","304871","29c1b0dea623bbfb9d8e6a5410e325e711f38dc701b74e1861eaf4c1914c9b5a","144"
"31","https://wyoleg.gov/statutes/compress/title31.pdf","Title-31.pdf","1763607","3b4ca3594a5b411bb8d9ebb3202e6ed7211541110e416ff5aca3cab79cb30097","Title-31.txt","1134062","2e64a49cec7f1382a8c95affd768a86e3602522588b2e59c850359313440bfdf","542"
"32","https://wyoleg.gov/statutes/compress/title32.pdf","Title-32.pdf","174173","7b7844f9a16eac9163f7f8d9b89c53b3d8b2a61ba219be94cbfd744654460ad4","Title-32.txt","59647","f380839cb8ca3e187d4f751dfb3e971e8673f16060a1645e3ff85cfa71d06f30","33"
"33","https://wyoleg.gov/statutes/compress/title33.pdf","Title-33.pdf","2524344","7afd55b8bb0b2c0013bebbb03d6974c203ed1c70f2657dbe40a97cb607fa56ca","Title-33.txt","1645288","d082c97b24c9b61fcdf6f5c23a768680ce6c682954f5f6e13ddaa03ba7e4632d","816"
"34","https://wyoleg.gov/statutes/compress/title34.pdf","Title-34.pdf","778161","dffab8c62b28f3387dcfdea2e38322cb0fa78d9c7c4ec1499bbf2dcf39a5300b","Title-34.txt","456276","50f66be3195bc299b0fa027487488abed618e05a38ed4842c0f77ded5789f12d","229"
"35","https://wyoleg.gov/statutes/compress/title35.pdf","Title-35.pdf","2927763","1195dea407a948ceb914de6daee6e7d9200427a5949d7aeb2d59f17f4d863e5e","Title-35.txt","1974869","1f5234d59234bd4c676f204d0facaddb94c12c582e28b99352b47ccb6f4ed865","954"
"36","https://wyoleg.gov/statutes/compress/title36.pdf","Title-36.pdf","517515","2395855d4dbfe2b97ff43a0dc597cbc58d5e98db1c9022377fddadf24aa679b1","Title-36.txt","334645","6f292e0e0e98f6592492b32c589115957dc754b82e89f6711581c62dd7faf9db","150"
"37","https://wyoleg.gov/statutes/compress/title37.pdf","Title-37.pdf","481547","3feca4906495491ea1a4179c10e21e5e371d03b63673613bd41df608a82a0cb3","Title-37.txt","509030","472930f6e3e9a585bc6744eeed64f4b34065f367eb5705aa5da678708d1c7f34","230"
"38","https://wyoleg.gov/statutes/compress/title38.pdf","Title-38.pdf","95128","b363ffde167146a299d12118c1d6b6f79688500bd14f9715cf826e11a20e160f","Title-38.txt","18205","ea9ebb92c26ee872239b40a0b5fa118f3b9814ae00c4be4bcd3bee2b49c21c88","8"
"39","https://wyoleg.gov/statutes/compress/title39.pdf","Title-39.pdf","1594368","ad38d0bd38b5574e3ff2bed3408c1d5fcf5d4d878b209826930ad36ecd9f26ae","Title-39.txt","1113011","49acc1e351d1dcc8c2001af637ea45767a1ee03d821ed31f068e8cfc569ad2f9","514"
"40","https://wyoleg.gov/statutes/compress/title40.pdf","Title-40.pdf","1314134","2a7e997e4a18abb2eb8cc0f0a50f2ec030c338d9edbba3e82958399f05c1e301","Title-40.txt","815192","c97a640d385628ff5abdd9cb3fd899580935763076380260edabf319deec04f2","401"
"41","https://wyoleg.gov/statutes/compress/title41.pdf","Title-41.pdf","1462109","7d23e54d8a94227974f95660d8ba954130941b6355df27c211abe2ed5fea8215","Title-41.txt","1104216","ceb7bae586a318f36a4078ee89df989325910f7646d9f5e229cbaa17db3dfc9b","481"
"42","https://wyoleg.gov/statutes/compress/title42.pdf","Title-42.pdf","540292","16714fed41850ff82fcf9e9e789791894310fe3ade88371b7c7802946982e0b9","Title-42.txt","270387","21d6c0b26e7af679f84c8d2407866ac2f44555d01265126d57431a2a522f9293","132"
"97","https://wyoleg.gov/statutes/compress/title97.pdf","Title-97.pdf","313619","63de540304eb0e4c216bf74958835184e8b1e36c6bb9da70c77edd6c3dd1eda2","Title-97.txt","171810","c312cc5bff4984d81144c579382ac82c41c376bb0200972a426b40875f081f6a","81"
